SNo , SZ_MULT , BYTES, INST, CYCLES, SEC
1 , .00048828125000000000 , 16, 87,64,73,515, 26,21,43,132, 0.085160154
2 , .00097656250000000000 , 32, 87,65,28,644, 26,21,94,729, 0.085157439
3 , .00195312500000000000 , 64, 1,04,42,81,287, 29,58,01,700, 0.085513347
4 , .00390625000000000000 , 128, 1,58,12,91,457, 41,23,05,100, 0.129953448
5 , .00781250000000000000 , 256, 1,98,40,63,811, 51,18,56,111, 0.165849949
6 , .01562500000000000000 , 512, 2,78,95,96,604, 74,08,48,655, 0.239930585
7 , .03125000000000000000 , 1024, 4,40,07,18,608, 1,24,89,90,328, 0.339973239
8 , .06250000000000000000 , 2048, 7,62,35,43,447, 2,93,02,39,889, 0.918575954
9 , .12500000000000000000 , 4096, 14,06,75,26,475, 4,47,44,78,016, 1.411758584
10 , .25000000000000000000 , 8192, 26,95,71,30,293, 9,38,11,37,787, 2.939271227
11 , .50000000000000000000 , 16384, 52,74,27,82,229, 17,98,93,84,535, 5.817072233
12 , 1.00000000000000000000 , 32768, 1,04,29,34,66,715, 36,88,72,38,682, 11.564131630
