(EDP 4.31) name (sample #1 - #452) all events/metrics are normalized per second unless stated otherwise,socket 0,socket 1
metric_CPU operating frequency (in GHz),2.7973697973641456,1.3395122274819147
metric_CPU utilization %,1.8255155875645959,0.05099635023554121
metric_CPU utilization% in kernel mode,0.03956604466229593,0.039998370230672556
metric_CPI,0.2681151910268795,4.328066722844682
metric_kernel_CPI,7.233693010040969,10.476657842238309
metric_EMON event mux reliability% (>95% good),99.69227006546579,98.27586604770472
metric_branch mispredict ratio,0.0004466199575080811,0.0700971136318074
metric_loads per instr,0.3212688745647614,1.9052481290715757
metric_stores per instr,0.16066430653572591,1.2856004874525506
metric_locks retired per instr,4.231677109368179e-06,0.0013638413800200646
metric_uncacheable reads per instr,1.8739904937307587e-09,8.076654925267419e-08
metric_streaming stores (full line) per instr,0.0,0.0
metric_streaming stores (partial line) per instr,0.0,3.2293568118015714e-07
metric_L1D MPI (includes data+rfo w/ prefetches),0.056126457434179156,0.016926454747598466
metric_L1D demand data read hits per instr,0.2670160174745336,0.10630371201671149
metric_L1-I code read misses (w/ prefetches) per instr,8.235897154205387e-05,0.047068160621429336
metric_L2 demand data read hits per instr,0.037411472465850706,0.002038095870080027
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.0001117774646278689,0.06873594576395003
metric_L2 demand data read MPI,8.58850197653608e-06,0.004574933743755928
metric_L2 demand code MPI,6.273173008851867e-05,0.038678656557949616
metric_L2 Any local request that HITM in a sibling core (per instr),9.972379074647008e-07,4.042440987136503e-05
metric_L2 Any local request that HIT in a sibling core and forwarded(per instr),3.373593238934621e-07,0.0003229606078970345
metric_L2 all L2 prefetches(per instr),0.008893419887151546,0.011582853974260348
metric_L2 % of all lines evicted that are unused prefetches,0.03136838979205855,0.02777375270248678
metric_L2 % of L2 evictions that are allocated into L3,92.6810210105921,98.76063023271145
metric_L2 % of L2 evictions that are NOT allocated into L3,7.318978989407884,1.2393697672885495
metric_LLC code references per instr (L3 prefetch excluded),7.876800654144572e-05,0.07393188436154872
metric_LLC data read references per instr (L3 prefetch excluded),2.880306547452735e-05,0.03369543643917545
metric_LLC RFO references per instr (L3 prefetch excluded),6.970533392394423e-06,0.0065666446199784245
metric_LLC MPI (includes code+data+rfo w/ prefetches),1.0057872565483064e-05,0.022426350903816034
metric_LLC data read MPI (demand+prefetch),7.1548776991376e-06,0.019798325871804624
metric_LLC RFO read MPI (demand+prefetch),2.893629057484796e-06,0.002628025032011411
metric_LLC code read MPI (demand+prefetch),9.365808860669128e-09,0.0
metric_LLC all LLC prefetches (per instr),0.0,0.0
metric_LLC total HITM (per instr) (excludes LLC prefetches),4.560843187931813e-07,0.0006489300505846846
metric_LLC total HIT clean line forwards (per instr) (excludes LLC prefetches),3.46099383508985e-07,0.00047880444021829334
metric_LLC % of LLC misses satisfied by remote caches,7.975679718344479,5.028613418383123
metric_Average LLC data read (demand+prefetch) miss latency (in ns),23.135319351727876,18.084595448738796
metric_Average LLC data read (demand+prefetch) miss latency for LOCAL requests (in ns),17.055658791879754,14.27993380357326
metric_Average LLC data read (demand+prefetch) miss latency for REMOTE requests (in ns),144.9018495830392,149.84141285771935
metric_Average LLC RFO (demand+prefetch) miss latency (in ns),39.76215913469457,44.65065925703801
metric_Average LLC RFO (demand+prefetch) miss latency for REMOTE requests (in ns),166.35012230653567,162.4502161692978
metric_SF snoop filter capacity evictions (per instr),2.1611013827001133e-10,0.0
