(EDP 4.31) name (sample #1 - #452) all events/metrics are normalized per second unless stated otherwise,aggregated,min,max,95th percentile,variation (stdev/avg)
metric_CPU operating frequency (in GHz),2.757750856642456,1.5132679984453177,2.7904191305504176,2.7862011176816113,0.02602259335285161
metric_CPU utilization %,0.9382559689000683,0.07147659828764774,1.3831322769488326,0.9712527451498141,0.06532045302614702
metric_CPU utilization% in kernel mode,0.039782207446484266,0.031334342182327876,0.046075491867575064,0.046075491867575064,0.107463112485809
metric_CPI,0.2714767360965322,0.2681478988073498,3.663880147923965,0.27619362128711766,0.5997753370413054
metric_kernel_CPI,8.1563185690086,7.287209233330752,9.56403409134945,9.56403409134945,0.08706366931945178
metric_EMON event mux reliability% (>95% good),99.71894578724083,99.99969805204422,99.99977246540658,99.99977246540658,2.4123295799591e-07
metric_branch mispredict ratio,0.0004714612835578775,0.00044551472574129827,0.0005106517682085739,0.0005106517682085739,0.04096027148660742
metric_loads per instr,0.3225803724020361,0.3166194021107052,0.31954043573538643,0.31954043573538643,0.004107069175749308
metric_stores per instr,0.1615957274265908,0.15926873535180297,0.1597947249833922,0.1597947249833922,0.0014783389553494983
metric_locks retired per instr,5.357402196885449e-06,4.743502137914853e-06,5.973721189086153e-06,5.973721189086153e-06,0.06523830030831046
metric_uncacheable reads per instr,1.939311690264766e-09,0.0,3.5367300795240315e-08,3.5367300795240315e-08,2.9332126008443717
metric_streaming stores (full line) per instr,0.0,0.0,0.0,0.0,NaN
metric_streaming stores (partial line) per instr,2.6738320356254644e-10,0.0,1.8619690884680408e-09,1.8619690884680408e-09,2.449489752282894
metric_L1D MPI (includes data+rfo w/ prefetches),0.05609400074726336,0.05578040851523608,0.05581916672410978,0.05581916672410978,0.00018144362948753772
metric_L1D demand data read hits per instr,0.2668829514382002,0.2655691402986591,0.2656881402301675,0.2656881402301675,0.0001161958412532448
metric_L1-I code read misses (w/ prefetches) per instr,0.00012126211820330049,8.53211394386653e-05,0.00019107666428452242,0.00019107666428452242,0.2158246115868011
metric_L2 demand data read hits per instr,0.0373821841359875,0.037178873835516636,0.03722097551932466,0.03722097551932466,0.00037649409850215517
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.00016859667362525353,0.00012944987493344916,0.00026087470790398567,0.00026087470790398567,0.18308184560308075
metric_L2 demand data read MPI,1.2369329213890567e-05,1.0025556848686826e-05,0.006264841334018195,0.006264841334018195,3.5129915155031366
metric_L2 demand code MPI,9.470481417532722e-05,6.871946520570202e-05,0.0001471588045861807,0.0001471588045861807,0.20352374109172883
metric_L2 Any local request that HITM in a sibling core (per instr),1.0298826852377643e-06,7.972660807255219e-07,1.3665503023950071e-06,1.3665503023950071e-06,0.14458172918431703
metric_L2 Any local request that HIT in a sibling core and forwarded(per instr),6.044838405526099e-07,2.9339615085877624e-07,1.0002611957659333e-06,1.0002611957659333e-06,0.3225111166249347
metric_L2 all L2 prefetches(per instr),0.008895646675778161,0.008301364663643486,0.011424837157360906,0.011424837157360906,0.11417278138474822
metric_L2 % of all lines evicted that are unused prefetches,0.030430885204294874,0.0162993363469523,0.09294531122517327,0.09294531122517327,0.6311632793927056
metric_L2 % of L2 evictions that are allocated into L3,93.03979427886729,88.78426108591458,99.31529541689673,99.31529541689673,0.026783700824951965
metric_L2 % of L2 evictions that are NOT allocated into L3,6.960205721132713,0.6847045831032582,11.215738914085424,11.215738914085424,1.2986615828560502
metric_LLC code references per instr (L3 prefetch excluded),0.00013991666243451492,6.531665584616586e-05,0.0003457428743696423,0.0003457428743696423,0.6641000264339808
metric_LLC data read references per instr (L3 prefetch excluded),5.667825180181329e-05,4.299413551998743e-05,8.164129954305337e-05,8.164129954305337e-05,0.21823361778793912
metric_LLC RFO references per instr (L3 prefetch excluded),1.2401790369597612e-05,1.0166448792455436e-05,1.5163690349471575e-05,1.5163690349471575e-05,0.11776794579137939
metric_LLC MPI (includes code+data+rfo w/ prefetches),2.8618039781408663e-05,1.8273958526826487e-05,3.5810143807669716e-05,3.5810143807669716e-05,0.1541246083911076
metric_LLC data read MPI (demand+prefetch),2.354150516414634e-05,1.3319793359118844e-05,3.014426103727525e-05,3.014426103727525e-05,0.18916379766250085
metric_LLC RFO read MPI (demand+prefetch),5.067176563072703e-06,4.04221253128003e-06,5.854847480477657e-06,5.854847480477657e-06,0.10868116148669174
metric_LLC code read MPI (demand+prefetch),9.358054189621415e-09,0.0,1.2112414611902662e-07,1.2112414611902662e-07,3.329732788040158
metric_LLC all LLC prefetches (per instr),0.0,0.0,0.0,0.0,NaN
metric_LLC total HITM (per instr) (excludes LLC prefetches),9.930056211820446e-07,7.394278152230099e-07,1.638957106292677e-06,1.638957106292677e-06,0.2864838449680329
metric_LLC total HIT clean line forwards (per instr) (excludes LLC prefetches),7.422517178565039e-07,6.213526373459185e-07,8.949497864349012e-07,8.949497864349012e-07,0.11637155195125186
metric_LLC % of LLC misses satisfied by remote caches,6.063508724891199,4.690685622545807,8.35299970902967,8.35299970902967,0.19605130344585803
