[1],[2],[3],Instructions
 1,5,0.50,movl	156(%r9), %r11d
 1,5,0.50,movl	120(%r9), %r10d
 1,5,0.50,movl	12(%r12,%r10,8), %r8d
 1,1,0.25,cmpl	%r8d, %r11d
 1,1,0.50,jae	139811404723889
 1,5,0.50,movl	128(%r9), %r8d
 1,1,0.50,shlq	$3, %r10
 1,1,1.00,movq	%rbx, 16(%r10,%r11,8)
 1,5,0.50,movl	12(%r12,%r8,8), %edx
 1,5,0.50,movl	124(%r9), %r10d
 1,1,0.25,cmpl	%edx, %ebp
 1,1,0.50,jae	139811404723936
 1,1,0.50,shlq	$3, %r8
 1,5,0.50,movl	16(%r8,%rbp,4), %r8d
 1,5,0.50,movl	12(%r12,%r10,8), %ebx
 1,1,0.25,cmpl	%ebx, %r11d
 1,1,0.50,jae	139811404723980
 1,1,0.50,leal	1(%r11), %ebx
 1,1,1.00,movl	%ebx, 156(%r9)
 1,1,0.50,shlq	$3, %r10
 1,1,1.00,movl	%r8d, 16(%r10,%r11,4)
 1,5,0.50,movq	960(%r15), %r10
 1,1,0.25,incl	%ebp
 2,6,0.50,testl	%eax, (%r10)
 1,5,0.50,movl	152(%r9), %r11d
 1,1,0.25,cmpl	%r11d, %ebp
 1,1,0.50,jge	139811404723870
 1,5,0.50,movl	132(%r9), %r11d
 1,5,0.50,movl	24(%r12,%r11,8), %r8d
 1,5,0.50,movq	16(%r12,%r8,8), %rax
 1,1,0.25,movq	%rax, %rbx
 1,3,1.00,imulq	%rcx, %rbx
 1,1,0.25,addq	$11, %rbx
 1,1,0.25,movq	%rbx, %r10
 1,1,0.25,andq	%rdi, %r10
 6,8,1.00,lock		cmpxchgq	%r10, 16(%r12,%r8,8)
 1,1,0.50,sete	%r10b
 1,1,0.25,movzbl	%r10b, %r10d
 1,1,0.25,testl	%r10d, %r10d
 1,1,0.50,je	139811404724024
 1,5,0.50,movl	24(%r12,%r11,8), %r10d
 1,5,0.50,movq	16(%r12,%r10,8), %rax
 1,1,0.25,movq	%rax, %r8
 1,3,1.00,imulq	%rcx, %r8
 1,1,0.50,shrq	$22, %rbx
 1,1,0.25,addq	$11, %r8
 1,1,0.25,movq	%r8, %r11
 1,1,0.25,andq	%rdi, %r11
 6,8,1.00,lock		cmpxchgq	%r11, 16(%r12,%r10,8)
 1,1,0.50,sete	%r11b
 1,1,0.25,movzbl	%r11b, %r11d
 1,1,0.25,andq	$67108863, %rbx
 1,1,0.25,movl	%ebx, %ebx
 1,1,0.25,movslq	%ebx, %rbx
 1,1,0.50,shlq	$27, %rbx
 1,1,0.25,testl	%r11d, %r11d
 1,1,0.50,je	139811404724068
 1,1,0.50,shrq	$21, %r8
 1,1,0.25,andq	$134217727, %r8
 1,1,0.25,movl	%r8d, %r11d
 1,1,0.25,movslq	%r11d, %r10
 1,1,0.25,addq	%rbx, %r10
 2,5,1.00,vcvtsi2sd	%r10, %xmm0, %xmm0
 2,9,0.50,vmulsd	-455(%rip), %xmm0, %xmm0
 2,7,1.00,vucomisd	136(%r9), %xmm0
 1,1,0.50,jb	139811404723618
 1,5,0.50,vmovsd	144(%r9), %xmm1
 1,2,1.00,vucomisd	%xmm0, %xmm1
 1,1,0.50,jb	139811404723618
 1,2,1.00,vucomisd	%xmm0, %xmm0
 1,1,0.50,jp	139811404723504
 1,2,1.00,vmovq	%xmm0, %rbx
