 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:       9082232     1360190080  [B (java.base)
   2:       9186485      293967520  java.util.HashMap$Node (java.base)
   3:       4423031      292930144  [I (java.base)
   4:      11777184      282652416  java.lang.Long (java.base)
   5:       4079770      163190800  java.math.BigDecimal (java.base)
   6:       3719775      119032800  org.spec.jbb.hq.entity.ReceiptLine
   7:       1131933      107102280  [Ljava.lang.Object; (java.base)
   8:        542130       96806616  [Ljava.util.HashMap$Node; (java.base)
   9:       3448121       82754904  java.io.ObjectInputStream$HandleTable$HandleList (java.base)
  10:       3221409       77313816  java.lang.String (java.base)
  11:         35686       38172232  [Ljava.io.ObjectInputStream$HandleTable$HandleList; (java.base)
  12:        378096       36297216  sun.util.calendar.Gregorian$Date (java.base)
  13:       1451548       34837152  java.lang.StringBuilder (java.base)
  14:       1069531       34224992  java.util.concurrent.ConcurrentHashMap$Node (java.base)
  15:        271658       32598960  java.io.ObjectStreamClass (java.base)
  16:        378099       30247920  java.util.logging.LogRecord (java.logging)
  17:         62757       25656840  [C (java.base)
  18:        517198       24825504  java.util.HashMap (java.base)
  19:        339496       19011776  java.nio.HeapCharBuffer (java.base)
  20:        774578       18589872  org.spec.jbb.core.collections.HashMultiSet$Entry
  21:        369709       14788360  java.math.BigInteger (java.base)
  22:        395723       12663136  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base)
  23:        241188       11577024  org.spec.jbb.hq.entity.Product
  24:        357420       11437440  java.io.ObjectInputStream$FieldValues (java.base)
  25:          4084       10370432  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base)
  26:        318155       10180960  java.io.ObjectStreamClass$WeakClassKey (java.base)
  27:        378102        9074448  java.time.Instant (java.base)
  28:        378101        9074416  [Ljava.util.logging.Handler; (java.logging)
  29:        192263        7690520  java.lang.ref.SoftReference (java.base)
  30:        312092        7490208  java.util.ArrayList (java.base)
  31:        200000        6400000  org.spec.jbb.sm.inventory.LockedRandomBarcodeInventory$QuantityInfo
  32:        151346        6053840  java.io.ObjectStreamField (java.base)
  33:        367194        5875104  java.util.HashSet (java.base)
  34:        144502        5780080  org.spec.jbb.sm.ShoppingCartItem
  35:        350959        5615344  java.lang.Integer (java.base)
